date,target_alloc,action,equity
2011-05-23,0.8,TRADE,3437554629.682867
2011-05-24,0.4,TRADE,3385668707.0905805
2011-05-25,0.4,HOLD,3400894002.634449
2011-05-26,0.8,TRADE,3426604386.1350713
2011-05-27,0.9,TRADE,3467808397.041413
2011-05-31,1.0,TRADE,3617639028.3950005
2011-06-01,0.4,TRADE,3386796063.9577622
2011-06-02,0.4,HOLD,3394715688.23964
2011-06-03,0.4,HOLD,3332722871.8724155
2011-06-06,0.30000000000000004,TRADE,3301409209.0164213
2011-06-07,0.30000000000000004,HOLD,3295496556.2397537
2011-06-08,0.30000000000000004,HOLD,3274402052.862436
2011-06-09,0.30000000000000004,HOLD,3278524860.692363
2011-06-10,0.1,TRADE,3234271602.170373
2011-06-13,0.1,HOLD,3234473407.5034447
2011-06-14,0.1,HOLD,3246559522.527213
2011-06-15,0.1,HOLD,3228177861.6025567
2011-06-16,0.1,HOLD,3223768109.7969165
2011-06-17,0.0,TRADE,3221431609.042107
2011-06-20,0.0,HOLD,3221455428.206325
2011-06-21,0.1,TRADE,3221463367.961825
2011-06-22,0.1,HOLD,3214204055.0346603
2011-06-23,0.1,HOLD,3222948252.398138
2011-06-24,0.0,TRADE,3205913822.4167385
2011-06-27,0.1,TRADE,3205937526.842857
2011-06-28,1.3,TRADE,3220266102.9381447
2011-06-29,1.3,HOLD,3273065912.893284
2011-06-30,1.3,HOLD,3433705647.211253
2011-07-01,1.3,HOLD,3637481350.1915197
2011-07-05,1.3,HOLD,3704175056.462311
2011-07-06,1.3,HOLD,3753739655.9986057
2011-07-07,1.3,HOLD,3944574557.0090885
2011-07-08,1.3,HOLD,3904632014.216052
2011-07-11,1.3,HOLD,3642455672.4638247
2011-07-12,1.3,HOLD,3530260371.916943
2011-07-13,1.3,HOLD,3590608951.432337
2011-07-14,1.3,HOLD,3433120878.283833
2011-07-15,1.3,HOLD,3608858175.1869173
2011-07-18,1.3,HOLD,3533244867.784855
2011-07-19,1.3,HOLD,3850252460.7434187
2011-07-20,1.3,HOLD,3782271515.478103
2011-07-21,1.3,HOLD,3879285655.4427185
2011-07-22,1.3,HOLD,4029141357.423058
2011-07-25,1.3,HOLD,3999899180.342028
2011-07-26,1.3,HOLD,4026817359.265461
2011-07-27,1.3,HOLD,3648257413.992657
2011-07-28,1.3,HOLD,3673018790.779255
2011-07-29,1.3,HOLD,3627684213.7501626
2011-08-01,1.3,HOLD,3565011621.614791
2011-08-02,0.0,TRADE,3220960441.873697
2011-08-03,1.3,TRADE,3220968380.414248
2011-08-04,0.0,TRADE,2651417377.582197
2011-08-05,0.0,HOLD,2651423912.3983645
2011-08-08,0.0,HOLD,2651445694.111947
2011-08-09,0.0,HOLD,2651452954.7284794
2011-08-10,0.0,HOLD,2651460215.3591332
2011-08-11,0.0,HOLD,2651467476.012457
2011-08-12,0.0,HOLD,2651474736.688449
2011-08-15,0.0,HOLD,2651496518.844083
2011-08-16,0.0,HOLD,2651503779.596631
2011-08-17,0.0,HOLD,2651511040.374635
2011-08-18,0.0,HOLD,2651518301.163973
2011-08-19,0.0,HOLD,2651525561.9759803
2011-08-22,0.0,HOLD,2651547344.539659
2011-08-23,0.0,HOLD,2651554605.432
2011-08-24,0.0,HOLD,2651561866.3460183
2011-08-25,0.0,HOLD,2651569127.2827063
2011-08-26,0.0,HOLD,2651576388.2420626
2011-08-29,0.0,HOLD,2651598171.213785
2011-08-30,0.0,HOLD,2651605432.2459197
2011-08-31,0.0,HOLD,2651612693.295953
2011-09-01,0.0,HOLD,2651619954.3686557
2011-09-02,0.0,HOLD,2651627215.4640274
2011-09-06,0.0,HOLD,2651650453.403174
2011-09-07,0.0,HOLD,2651656262.9219646
2011-09-08,0.0,HOLD,2651662072.455667
2011-09-09,0.0,HOLD,2651667882.000704
2011-09-12,0.0,HOLD,2651685310.708003
2011-09-13,0.0,HOLD,2651691120.3035502
2011-09-14,1.0,TRADE,2651696929.916594
2011-09-15,1.0,HOLD,2772333388.333547
