bull_ma,bull_mom,blend_lo,blend_w,riskon_rv,def_frac,lev,A_cagr,A_dd,A_calmar,B_cagr,B_dd,B_calmar
30,10,0.32,0.14,0.16,0.3333333333333333,1.3,31.13,-58.82,0.529,46.96,-55.86,0.841
30,10,0.32,0.14,0.16,0.5,1.0,31.16,-55.59,0.561,44.58,-53.66,0.831
30,10,0.32,0.14,0.16,0.5,1.3,31.47,-55.59,0.566,47.07,-55.86,0.843
30,10,0.32,0.14,0.16,0.6666666666666666,1.0,30.68,-59.72,0.514,44.71,-53.66,0.833
30,10,0.32,0.14,0.16,0.6666666666666666,1.3,30.98,-59.72,0.519,47.2,-55.86,0.845
30,10,0.32,0.14,0.18,0.3333333333333333,1.0,30.61,-58.82,0.52,43.35,-58.6,0.74
30,10,0.32,0.14,0.18,0.3333333333333333,1.3,30.67,-58.82,0.521,44.9,-64.26,0.699
30,10,0.32,0.14,0.18,0.5,1.0,30.95,-55.59,0.557,43.46,-58.6,0.742
30,10,0.32,0.14,0.18,0.5,1.3,31.01,-55.59,0.558,45.01,-64.26,0.701
30,10,0.32,0.14,0.18,0.6666666666666666,1.0,30.47,-59.72,0.51,43.59,-58.6,0.744
30,10,0.32,0.14,0.18,0.6666666666666666,1.3,30.53,-59.72,0.511,45.14,-64.26,0.702
30,15,0.24,0.1,0.14,0.3333333333333333,1.0,33.75,-49.54,0.681,41.74,-48.05,0.869
30,15,0.24,0.1,0.14,0.3333333333333333,1.3,33.27,-49.54,0.671,44.51,-48.05,0.926
30,15,0.24,0.1,0.14,0.5,1.0,35.01,-49.54,0.707,42.16,-48.05,0.878
30,15,0.24,0.1,0.14,0.5,1.3,34.52,-49.54,0.697,44.93,-48.05,0.935
30,15,0.24,0.1,0.14,0.6666666666666666,1.0,35.26,-49.73,0.709,42.64,-48.05,0.887
30,15,0.24,0.1,0.14,0.6666666666666666,1.3,34.77,-49.73,0.699,45.42,-48.05,0.945
30,15,0.24,0.1,0.16,0.3333333333333333,1.0,35.4,-49.54,0.714,43.13,-51.22,0.842
30,15,0.24,0.1,0.16,0.3333333333333333,1.3,35.72,-49.54,0.721,45.6,-53.54,0.852
30,15,0.24,0.1,0.16,0.5,1.0,36.67,-49.54,0.74,43.56,-51.22,0.85
30,15,0.24,0.1,0.16,0.5,1.3,36.99,-49.54,0.747,46.03,-53.54,0.86
30,15,0.24,0.1,0.16,0.6666666666666666,1.0,36.92,-49.73,0.742,44.04,-51.22,0.86
30,15,0.24,0.1,0.16,0.6666666666666666,1.3,37.24,-49.73,0.749,46.51,-53.54,0.869
30,15,0.24,0.1,0.18,0.3333333333333333,1.0,35.18,-49.54,0.71,42.42,-56.42,0.752
30,15,0.24,0.1,0.18,0.3333333333333333,1.3,35.24,-49.54,0.711,43.96,-62.37,0.705
30,15,0.24,0.1,0.18,0.5,1.0,36.45,-49.54,0.736,42.85,-56.42,0.759
30,15,0.24,0.1,0.18,0.5,1.3,36.51,-49.54,0.737,44.39,-62.37,0.712
30,15,0.24,0.1,0.18,0.6666666666666666,1.0,36.7,-49.73,0.738,43.32,-56.42,0.768
30,15,0.24,0.1,0.18,0.6666666666666666,1.3,36.76,-49.73,0.739,44.87,-62.37,0.719
30,15,0.24,0.14,0.14,0.3333333333333333,1.0,33.79,-49.54,0.682,41.74,-48.05,0.869
30,15,0.24,0.14,0.14,0.3333333333333333,1.3,33.31,-49.54,0.672,44.5,-48.05,0.926
30,15,0.24,0.14,0.14,0.5,1.0,34.5,-49.54,0.696,42.3,-48.05,0.88
30,15,0.24,0.14,0.14,0.5,1.3,34.01,-49.54,0.686,45.07,-48.05,0.938
30,15,0.24,0.14,0.14,0.6666666666666666,1.0,34.96,-49.54,0.706,42.75,-48.05,0.89
30,15,0.24,0.14,0.14,0.6666666666666666,1.3,34.47,-49.54,0.696,45.53,-48.05,0.948
30,15,0.24,0.14,0.16,0.3333333333333333,1.0,35.44,-49.54,0.715,43.13,-51.22,0.842
30,15,0.24,0.14,0.16,0.3333333333333333,1.3,35.76,-49.54,0.722,45.6,-53.54,0.852
30,15,0.24,0.14,0.16,0.5,1.0,36.15,-49.54,0.73,43.69,-51.22,0.853
30,15,0.24,0.14,0.16,0.5,1.3,36.47,-49.54,0.736,46.16,-53.54,0.862
30,15,0.24,0.14,0.16,0.6666666666666666,1.0,36.62,-49.54,0.739,44.15,-51.22,0.862
30,15,0.24,0.14,0.16,0.6666666666666666,1.3,36.94,-49.54,0.746,46.63,-53.54,0.871
30,15,0.24,0.14,0.18,0.3333333333333333,1.0,35.22,-49.54,0.711,42.42,-56.42,0.752
30,15,0.24,0.14,0.18,0.3333333333333333,1.3,35.28,-49.54,0.712,43.96,-62.37,0.705
30,15,0.24,0.14,0.18,0.5,1.0,35.93,-49.54,0.725,42.98,-56.42,0.762
30,15,0.24,0.14,0.18,0.5,1.3,36.0,-49.54,0.727,44.52,-62.37,0.714
30,15,0.24,0.14,0.18,0.6666666666666666,1.0,36.4,-49.54,0.735,43.43,-56.42,0.77
30,15,0.24,0.14,0.18,0.6666666666666666,1.3,36.46,-49.54,0.736,44.98,-62.37,0.721
